Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
319,tt0071913,2013-04-23,2013-04-23,,The Nine Lives of Fritz the Cat,https://www.imdb.com/title/tt0071913/,movie,5.4,77,1974,"Animation, Comedy",2349,1974-06-26,Robert Taylor
320,tt0070165,2013-04-23,2013-04-23,,Heavy Traffic,https://www.imdb.com/title/tt0070165/,movie,6.6,77,1973,"Animation, Comedy, Drama",2568,1973-08-08,Ralph Bakshi
321,tt0090799,2013-04-23,2013-04-23,,Care Bears Movie II: A New Generation,https://www.imdb.com/title/tt0090799/,movie,5.4,76,1986,"Animation, Adventure, Comedy, Family, Fantasy, Musical",2002,1986-03-07,Dale Schott
322,tt0350194,2013-04-23,2013-04-23,,Teacher's Pet,https://www.imdb.com/title/tt0350194/,movie,5.8,73,2004,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Sci-Fi",1428,2004-01-16,Timothy Björklund
323,tt0142240,2013-04-23,2013-04-23,,Doragon bôru Z: Kono yo de ichiban tsuyoi yatsu,https://www.imdb.com/title/tt0142240/,movie,6.9,59,1990,"Animation, Action, Adventure, Sci-Fi, Thriller",5069,1990-03-10,Daisuke Nishio
324,tt0071361,2013-04-23,2013-04-23,,Coonskin,https://www.imdb.com/title/tt0071361/,movie,6.6,100,1975,"Animation, Action, Comedy, Crime, Drama",2244,1975-08-20,Ralph Bakshi
325,tt0069289,2013-04-23,2013-04-23,,Snoopy Come Home,https://www.imdb.com/title/tt0069289/,movie,7.5,81,1972,"Animation, Adventure, Comedy, Drama, Family, Music, Musical",3795,1972-08-09,Bill Melendez
326,tt0090065,2013-04-23,2013-04-23,,Starchaser: The Legend of Orin,https://www.imdb.com/title/tt0090065/,movie,6.7,100,1985,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",1751,1985-05-17,Steven Hahn
327,tt0187819,2013-04-23,2013-04-23,,Doug's 1st Movie,https://www.imdb.com/title/tt0187819/,movie,5.0,77,1999,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi",2742,1999-03-19,Maurice Joyce
328,tt0078477,2013-04-23,2013-04-23,,The Water Babies,https://www.imdb.com/title/tt0078477/,movie,6.2,92,1978,"Animation, Adventure, Family, Fantasy, Musical",1106,1978-06-23,Lionel Jeffries
329,tt0073640,2013-04-23,2013-04-23,,Rudolph's Shiny New Year,https://www.imdb.com/title/tt0073640/,tvMovie,6.7,60,1976,"Animation, Adventure, Comedy, Family, Fantasy, Musical",3007,1976-12-10,"Jules Bass, Arthur Rankin Jr."
330,tt0089877,2013-04-23,2013-04-23,,Rainbow Brite and the Star Stealer,https://www.imdb.com/title/tt0089877/,movie,7.0,85,1985,"Animation, Adventure, Family, Fantasy, Sci-Fi",986,1985-11-15,"Kimio Yabuki, Bernard Deyriès"
